album_id,personnel_id
1,1
1,2
1,3
1,4
2,1
2,2
2,3
2,4
2,5
2,6
3,1
3,4
3,7
3,8
3,9
4,1
4,10
4,11
4,12
5,1
5,2
5,5
5,6
6,1
6,13
6,14
6,15
6,16
7,1
7,4
7,7
7,8
8,1
8,10
8,11
8,12
8,16
9,1
9,10
9,11
9,12
10,1
10,13
10,14
10,15
10,16
11,1
11,4
11,7
11,8
12,1
12,2
12,3
12,4
12,5
12,6
13,1
13,10
13,11
13,12
14,1
14,2
14,5
14,6
15,1
15,2
15,3
15,4
16,1
16,13
16,14
16,15
16,16
17,1
17,10
17,11
17,12
18,1
18,2
18,3
18,4
19,1
19,3
19,4
19,5
20,1
20,13
20,14
20,15
20,16
21,1
21,4
21,7
21,8
21,9
22,1
22,5
22,6
23,1
23,2
23,3
23,4
24,1
24,10
24,11
24,12
24,16
25,1
25,4
25,7
25,8
26,1
26,10
26,11
26,12
26,16
27,1
27,4
27,7
27,8
27,9
28,1
28,4
28,7
28,8
29,1
29,2
29,5
29,6
30,1
30,2
30,5
31,1
31,10
31,11
31,12
32,1
32,2
32,3
32,4
33,1
33,3
33,5
33,6
34,1
34,2
34,5
34,6
35,1
35,5
35,6
36,1
36,4
36,7
36,8
37,1
37,2
37,3
37,4
37,5
37,6
38,1
38,4
38,7
38,8
39,1
39,2
39,3
39,4
39,5
39,6
